Pos.;Leistung;Menge;Einheit;Quelle;Datei
190;Eckschutzschiene aus Aluminium,;15,0;m;gaeb;Vergabeunterlagen/Version 1/26-07-22_ AA Montabaur_ Fliesenarbeiten_ 146314-009.x83
200;Stundenlohnarbeiten durch Facharbeiter/-in;20,0;h;gaeb;Vergabeunterlagen/Version 1/26-07-22_ AA Montabaur_ Fliesenarbeiten_ 146314-009.x83
210;Stundenlohnarbeiten durch Bauhelfer/-in;10,0;h;gaeb;Vergabeunterlagen/Version 1/26-07-22_ AA Montabaur_ Fliesenarbeiten_ 146314-009.x83
10;Baustelleneinrichtung für die nachfolgend beschriebenen Arbeiten liefern, vorhalten, nach Beendigung der Arbeiten abbauen, laden und abtransportieren. Alle Oberflächen die zum Leistungsumfang gehören, sind nach Beendigung der Arbeiten besenrein zu hinterlassen, Böden sind frei von Rückständen zu ver;1,0;Psch;gaeb;Vergabeunterlagen/Version 1/26-07-22_ AA Montabaur_ Fliesenarbeiten_ 146314-009.x83
20;Reinigen des Untergrundes aus Stahlbeton, von grober Verschmutzung, von haftungsmindernden Schichten, durch Entfernen von Grobschmutz, aufgenommene Stoffe sammeln, auf Baustelle bereitstellen, Abfall ist nicht gefährlich, nicht schadstoffbelastet.;80,0;m2;gaeb;Vergabeunterlagen/Version 1/26-07-22_ AA Montabaur_ Fliesenarbeiten_ 146314-009.x83
30;Anschleifen und Absaugen des Untergrundes aus Beton, für Estricharbeiten.;80,0;m2;gaeb;Vergabeunterlagen/Version 1/26-07-22_ AA Montabaur_ Fliesenarbeiten_ 146314-009.x83
40;Randdämmstreifen aus PE-Schaum, Dicke 10 mm, Höhe 80 mm, für Estrich auf Dämmschicht, Zementestrich.;110,0;m;gaeb;Vergabeunterlagen/Version 1/26-07-22_ AA Montabaur_ Fliesenarbeiten_ 146314-009.x83
50;Trittschalldämmschicht aus Mineralwolle MW DIN EN 13162, lotrechte Nutzlasten (Einzellasten bis 2 kN, Flächenlasten bis 3 kN/m2), als Platte, Lieferdicke 13 mm, Stufe Zusammendrückbarkeit kleiner gleich 3 mm (CP 3) DIN 4108-10, dynamische Steifigkeit kleiner gleich 30 MN/m3, Bemessungswert der Wärme;85,0;m2;gaeb;Vergabeunterlagen/Version 1/26-07-22_ AA Montabaur_ Fliesenarbeiten_ 146314-009.x83
60;Trennschicht aus PE-Folie, einlagig, Dicke 0,2 mm, Stöße überlappen, auf Betonflächen, als Unterlage für Zementestrich,;80,0;m2;gaeb;Vergabeunterlagen/Version 1/26-07-22_ AA Montabaur_ Fliesenarbeiten_ 146314-009.x83
70;Zementestrich CT, als Estrich auf Trennschicht DIN 18560-4, unbewehrt, lotrechte Nutzlast bis 2 kN/m2, Druckfestigkeitsklasse C25 DIN EN 13813, Biegezugfestigkeitsklasse F4 DIN EN 13813, Estrichnenndicke 50 mm, für Flächen in Innenräumen, zur Aufnahme von Fliesenbelägen, Oberfläche von Hand glätten,;80,0;m2;gaeb;Vergabeunterlagen/Version 1/26-07-22_ AA Montabaur_ Fliesenarbeiten_ 146314-009.x83
80;Stundenlohnarbeiten durch Facharbeiter/-in;10,0;h;gaeb;Vergabeunterlagen/Version 1/26-07-22_ AA Montabaur_ Fliesenarbeiten_ 146314-009.x83
90;Stundenlohnarbeiten durch Bauhelfer/-in;5,0;h;gaeb;Vergabeunterlagen/Version 1/26-07-22_ AA Montabaur_ Fliesenarbeiten_ 146314-009.x83
10;Baustelleneinrichtung für die nachfolgend beschriebenen Arbeiten liefern, vorhalten, nach Beendigung der Arbeiten abbauen, laden und abtransportieren. Der eigens verursachte Bauschutt sowie Materialien sind nach Abschluss der Bauarbeiten zu laden und abzutransportieren. Alle Oberflächen die zum Leis;1,0;Psch;gaeb;Vergabeunterlagen/Version 1/26-07-22_ AA Montabaur_ Fliesenarbeiten_ 146314-009.x83
20;Liefern und Verlegen von Vlies/Folie/Hartfaserplatten zum Schutz des bestehenden Bodenbelags im angrenzenden Flur, und neue WC-Anlagen im 1.OG, für Rollgerüste geeignet, inkl. aller Nebenarbeiten und Materialien, nach Gebrauch wieder entfernen und entsorgen.;20,0;m2;gaeb;Vergabeunterlagen/Version 1/26-07-22_ AA Montabaur_ Fliesenarbeiten_ 146314-009.x83
30;Grundieren, lösemittelfreier Tiefgrund;255,0;m²;gaeb;Vergabeunterlagen/Version 1/26-07-22_ AA Montabaur_ Fliesenarbeiten_ 146314-009.x83
40;Abdichtung der Innenwandflächen von Innenräumen im Verbund (AIV-F) DIN 18534-1 und DIN 18534-3, Wassereinwirkungsklasse W0-I (gering), Rissklasse R1-I (Rissbreitenänderung/-neubildung nach Aufbringen der Abdichtung bis 0,2 mm), mit mineralischen Dichtungsschlämmen CM DIN EN 14891, rissüberbrückend, ;35,0;m2;gaeb;Vergabeunterlagen/Version 1/26-07-22_ AA Montabaur_ Fliesenarbeiten_ 146314-009.x83
