Code;Art;Kriterium;Hauptgruppe;Gruppe;Gewichtung;Gewicht Gruppe;Gewicht Hauptgruppe;Prozent
A.1.1.1;Ausschluss;"x86-Technologie (64 Bit) AMD / Intel Prozessor, Mindestleistung ≥ 1750 Score Points „Overall“ im Benchmark „SYSmark 30“, Hardwareunterstützung für AES-Verschlüsselung.

Testeinstellung: Auflösung 1920×1080 bei 60 Hz, Betriebssystem Windows 11 Pro 24H2 oder höher. Der Leistungswert SYSmark 30 „Overall Rating“ ist für die angebotene Konfiguration durch Vorlage eines geeigneten Messprotokolls mit dem";1. Technische Anforderungen;1.1 Prozessor;;;;
A.1.1.2;Ausschluss;"Alternativ: x86-Technologie (64 Bit), AMD / Intel, Mindestleistung ≥ 1800 Score Points „Overall“ im Benchmark „SYSmark 30“, Hardwareunterstützung für AES-Verschlüsselung

Testeinstellung: Auflösung 1920×1080 bei 60 Hz, Betriebssystem Windows 11 Pro 24H2 oder höher. Der Leistungswert SYSmark 30 „Overall Rating“ ist für die angebotene Konfiguration durch Vorlage eines geeigneten Messprotokolls mit d";1. Technische Anforderungen;1.1 Prozessor;;;;
A.1.2.1;Ausschluss;16 GB RAM DDR5;1. Technische Anforderungen;1.2 Arbeitsspeicher;;;;
A.1.2.2;Ausschluss;Alternativ: 32GB RAM DDR5;1. Technische Anforderungen;1.2 Arbeitsspeicher;;;;
A.1.2.3;Ausschluss;Alternativ: 64GB RAM DDR5;1. Technische Anforderungen;1.2 Arbeitsspeicher;;;;
A.1.3.1;Ausschluss;"Ethernet-Adapter, RJ-45, 10/100/1000 Mbit/s, autosensing, Unterstützung für Preboot-Execution-Environment (PXE 2.1); WOL";1. Technische Anforderungen;1.3 Netzwerkkarte;;;;
A.1.4.1;Ausschluss;Min. 240 GB SSD M.2 PCIe;1. Technische Anforderungen;1.4 Festplatte;;;;
A.1.4.2;Ausschluss;Alternativ: min. 480 GB SSD M.2  PCIe;1. Technische Anforderungen;1.4 Festplatte;;;;
A.1.4.3;Ausschluss;Alternativ: min. 1TB SSD M.2  PCIe;1. Technische Anforderungen;1.4 Festplatte;;;;
A.1.4.4;Ausschluss;Optional zusätzliche 2TB HDD, SATA 6 Gb/s;1. Technische Anforderungen;1.4 Festplatte;;;;
A.1.4.5;Ausschluss;Optional: Festplatte/SSD verbleibt im Reparaturfall beim Kunden;1. Technische Anforderungen;1.4 Festplatte;;;;
A.1.5.1;Ausschluss;onboard-Soundkarte;1. Technische Anforderungen;1.5 Sound;;;;
B.1.6.1;Bewertung;Optional internes DVD±R, ±RW, Laufwerk;1. Technische Anforderungen;1.6 Optische Laufwerke;10,0;;;
B.1.6.2;Bewertung;Optional interner, SDHC-kompatibler Kartenleser erhältlich;1. Technische Anforderungen;1.6 Optische Laufwerke;10,0;;;
A.1.7.1;Ausschluss;Min. 2x USB 2.0 extern;1. Technische Anforderungen;1.7 Schnittstellen/ Anschlüsse/ Systemboard-Steckplätze;;;;
A.1.7.2;Ausschluss;Min. 2x USB 3.2 (mind. 5 Gbits/s) extern;1. Technische Anforderungen;1.7 Schnittstellen/ Anschlüsse/ Systemboard-Steckplätze;;;;
A.1.7.3;Ausschluss;Min. 2 digitale Schnittstellen für Monitore (davon mindestens 1x DisplayPort);1. Technische Anforderungen;1.7 Schnittstellen/ Anschlüsse/ Systemboard-Steckplätze;;;;
A.1.7.4;Ausschluss;optionale 3. digitale Schnittstelle für Monitor (HDMI 2.1 oder DP 2.1 UHBR20);1. Technische Anforderungen;1.7 Schnittstellen/ Anschlüsse/ Systemboard-Steckplätze;;;;
A.1.7.5;Ausschluss;Min. 1x USB 3.2 (mind. 5 Gbits/s) Typ A, erreichbar ohne Klappen oder Abdeckungen;1. Technische Anforderungen;1.7 Schnittstellen/ Anschlüsse/ Systemboard-Steckplätze;;;;
A.1.7.6;Ausschluss;Min. 1x USB 3.2 (mind. 5 Gbits/s) Typ C, erreichbar ohne Klappen oder Abdeckungen;1. Technische Anforderungen;1.7 Schnittstellen/ Anschlüsse/ Systemboard-Steckplätze;;;;
A.1.7.7;Ausschluss;1x Kopfhörer u. 1x Mikrofon (jeweils 3,5mm Klinkenbuchse) oder kombinierte Stereokopfhörer-/Mikrofonbuchse, erreichbar ohne Klappen oder Abdeckungen;1. Technische Anforderungen;1.7 Schnittstellen/ Anschlüsse/ Systemboard-Steckplätze;;;;
A.1.7.8;Ausschluss;1x PCIe x16 Gen 3 oder neuer, halbe Bauhöhe;1. Technische Anforderungen;1.7 Schnittstellen/ Anschlüsse/ Systemboard-Steckplätze;;;;
A.1.7.9;Ausschluss;1x PCIe x1;1. Technische Anforderungen;1.7 Schnittstellen/ Anschlüsse/ Systemboard-Steckplätze;;;;
B.1.7.10;Bewertung;Weitere PCIe-Schnittstellen;1. Technische Anforderungen;1.7 Schnittstellen/ Anschlüsse/ Systemboard-Steckplätze;20,0;;;
A.1.7.11;Ausschluss;M.2 Schnittstelle;1. Technische Anforderungen;1.7 Schnittstellen/ Anschlüsse/ Systemboard-Steckplätze;;;;
A.1.7.12;Ausschluss;Schnittstellen- und Laufwerke über BIOS deaktivierbar, Passwortschutz für System und Setup, auch konfigurierbar über kostenfreie Hersteller-Tools;1. Technische Anforderungen;1.7 Schnittstellen/ Anschlüsse/ Systemboard-Steckplätze;;;;
A.1.7.13;Ausschluss;Einstellung der Bootreihenfolge im BIOS möglich;1. Technische Anforderungen;1.7 Schnittstellen/ Anschlüsse/ Systemboard-Steckplätze;;;;
A.1.8.1;Ausschluss;TPM mind. 2.0 Modul onboard mind. FIPS-140-2 zertifiziert;1. Technische Anforderungen;1.8 Sicherheit/ Management;;;;
A.1.8.2;Ausschluss;TPM Modul über kostenlose Software ein-/aus-schaltbar;1. Technische Anforderungen;1.8 Sicherheit/ Management;;;;
A.1.8.3;Ausschluss;SCCM-fähige Treiberpakete verfügbar;1. Technische Anforderungen;1.8 Sicherheit/ Management;;;;
A.1.9.1;Ausschluss;Onboard;1. Technische Anforderungen;1.9 Grafikkarte;;;;
A.1.9.2;Ausschluss;Auflösung min. 3.840 x 2.160 digital;1. Technische Anforderungen;1.9 Grafikkarte;;;;
A.1.9.3;Ausschluss;DirectX 12 und OpenGL 4.x  Unterstützung;1. Technische Anforderungen;1.9 Grafikkarte;;;;
B.1.9.4;Bewertung;Optional Grafikkarte mit mind. 4 GB RAM, min. 2 digitale Schnittstellen (davon mindestens 1x DisplayPort) erhältlich, Auflösung mindestens einmal 3.840 x 2.160;1. Technische Anforderungen;1.9 Grafikkarte;20,0;;;
A.1.10.1;Ausschluss;"Gehäuseform ""Small Form Factor"", Maximales Gehäusevolumen ≤ 9 Liter 
Laufwerksschächte: min. 1x 3,5"" (intern) und min. 1x Slim (extern),";1. Technische Anforderungen;1.10 Gehäuse;;;;
A.1.10.2;Ausschluss;Werkzeuglose Montage von Gehäusedeckel, Laufwerken und Steckkarten;1. Technische Anforderungen;1.10 Gehäuse;;;;
A.1.10.3;Ausschluss;Gehäuse mit Vorrichtung zur Diebstahlsicherung (Kensington-Lock);1. Technische Anforderungen;1.10 Gehäuse;;;;
B.1.10.4;Bewertung;Optional Gehäuseöffnungs-Sensor;1. Technische Anforderungen;1.10 Gehäuse;10,0;;;
B.1.10.5;Bewertung;Optional Abschliessbare Kabelabdeckung;1. Technische Anforderungen;1.10 Gehäuse;10,0;;;
A.1.11.1;Ausschluss;Netzteil 110-240 Volt;1. Technische Anforderungen;1.11 Stromversorgung;;;;
A.1.11.2;Ausschluss;"Eingebaute Netzteile müssen bei den Lastzuständen 20%, 50% und 100% mindestens einen Wirkungsgrad von 87%, 90% und 87% haben. 
Nachweis: Messprotokoll oder 80plus Gold-Zertifizierung";1. Technische Anforderungen;1.11 Stromversorgung;;;;
A.1.12.1;Ausschluss;Tastatur in deutscher Sprache (MF2-Tastatur) mit min. 105 Tasten, USB schwarz;1. Technische Anforderungen;1.12 Tastatur und Maus;;;;
A.1.12.2;Ausschluss;Optional Tastatur in englischer Sprache, UK oder US , USB schwarz erhältlich;1. Technische Anforderungen;1.12 Tastatur und Maus;;;;
A.1.12.3;Ausschluss;Optische Maus mit min. 2 Tasten und Mausrad, USB schwarz;1. Technische Anforderungen;1.12 Tastatur und Maus;;;;
A.1.12.4;Ausschluss;"Die ergonomischen Eigenschaften von Tastaturen für Arbeitsplatzcomputer sollten nach dem Standard EN ISO 9241-4 geprüft sein und die dort geforderten Parameter einhalten.
Nachweis: Herstellererklärung und der Bieter legt spätestens auf Nachfrage vor Zuschlagserteilung einen Prüfbericht vor.";1. Technische Anforderungen;1.12 Tastatur und Maus;;;;
A.1.13.1;Ausschluss;Microsoft Windows 11 Professional 64 Bit OEM vorinstalliert inkl. Lizenz;1. Technische Anforderungen;1.13 Betriebssystem;;;;
A.1.13.2;Ausschluss;Alternativ Microsoft Windows 11 Home 64 BIT OEM  vorinstalliert inkl. Lizenz;1. Technische Anforderungen;1.13 Betriebssystem;;;;
A.1.13.3;Ausschluss;"Alternativ Ubuntu LTS 24.04 Werksseitig, Gerät ist offziell zertifiziert und auf folgender Seite gelistet; URL: https://certification.ubuntu.com/desktop";1. Technische Anforderungen;1.13 Betriebssystem;;;;
A.1.14.1;Ausschluss;Neugeräte aus Serienproduktion;1. Technische Anforderungen;1.14 Allgemeine Eigenschaften;;;;
A.1.14.2;Ausschluss;Alle imagerelevanten Bauteile über Produktlebenszyklus unverändert konstant;1. Technische Anforderungen;1.14 Allgemeine Eigenschaften;;;;
B.1.14.3;Bewertung;geplante Produktlaufzeit in Monaten (Nachweis mit Hersteller-Roadmap);1. Technische Anforderungen;1.14 Allgemeine Eigenschaften;40,0;;;
A.1.14.4;Ausschluss;Ein- und Ausschalter an Gerätevorderseite, durch dessen Betätigung das Gerät min. in den Schein-Aus-Zustand versetzt werden kann;1. Technische Anforderungen;1.14 Allgemeine Eigenschaften;;;;
A.2.1.1;Ausschluss;Wake-on-LAN;2. Zusätzliche Leistungen;2.1 Management;;;;
A.2.1.2;Ausschluss;"Der Hersteller muss ermöglichen, dass das System‑BIOS im Rahmen der vom Hersteller freigegebenen Versionen sowohl aktualisiert (Upgrade) als auch auf frühere, freigegebene BIOS‑Stände zurückgesetzt (Downgrade) werden kann.
Einschränkungen von BIOS‑Downgrades sind  zulässig, wenn sicherheitskritische BIOS‑ bzw. Firmware‑Updates ein Downgrade aus Sicherheitsgründen unterbinden";2. Zusätzliche Leistungen;2.1 Management;;;;
A.2.1.3;Ausschluss;"Energiemanagement: Das Gerät muss ein ACPI-konformes Betriebssystem unterstützen. Das Gerät muss bei Inaktivität selbständig in den Ruhemodus übergehen sowie den Monitor ausschalten. Voreinstellung bei Auslieferung:
- Monitor aus ≤ 15 Min
- Ruhemodus (ACPI S3) ≤ 30 Min";2. Zusätzliche Leistungen;2.1 Management;;;;
A.2.1.4;Ausschluss;Der Kunde soll die Möglichkeit haben mindestens eine kundenspezifische Information selbst im Geräte-BIOS zu hinterlegen, z.B. die Inventarnummer des Gerätes und/oder eine Anlagennummer. Das Feld im BIOS muss durch den Kunden initial gefüllt und nachträglich bearbeitet werden können.;2. Zusätzliche Leistungen;2.1 Management;;;;
A.2.1.5;Ausschluss;Kostenloses Tool vom Gerätehersteller zur automatisierten Firmware- u. Treiberaktualisierung (Windows) verfügbar;2. Zusätzliche Leistungen;2.1 Management;;;;
A.2.1.6;Ausschluss;Kostenloses Tool vom Gerätehersteller zur Bios-Konfiguration verfügbar;2. Zusätzliche Leistungen;2.1 Management;;;;
A.2.2.1;Ausschluss;Optional: Aufkleber mit Assetdaten (z.B. Seriennummer, MAC.Adresse) auf Verpackung;2. Zusätzliche Leistungen;2.2 Geräteetikettierung;;;;
A.2.2.2;Ausschluss;Optional Aufkleber mit Assetdaten (z.B. Seriennummer, MAC.Adresse) auf System;2. Zusätzliche Leistungen;2.2 Geräteetikettierung;;;;
A.2.2.3;Ausschluss;Optional Aufbringen kundenspezifischer Aufkleber auf System;2. Zusätzliche Leistungen;2.2 Geräteetikettierung;;;;
A.3.1.1;Ausschluss;"Das Gerät erfüllt vollständig die Anforderungen des aktuellen ENERGY-STAR-Programms für Computer (derzeit ENERGY STAR Version 9.0).

Nachweise: Herstellererklärung; der Bieter verpflichtet sich, spätestens auf Nachfrage vor Zuschlagserteilung einen Prüfbericht oder ein Dokument gemäß der jeweils gültigen ENERGY-STAR-Testvorschrift oder ein Dokument mit folgenden Angaben vorzulegen:

Name des Prüfl";3 - Qualität / Sicherheit / Umwelt;3.1 Energieverbrauch;;;;
A.3.2.1;Ausschluss;"GS-Zeichen; CE; WEEE; EU-RoHS – entsprechende Konformitäts- und Zertifikatsunterlagen werden beigefügt.";3 - Qualität / Sicherheit / Umwelt;3.2 Zertifizierungen;;;;
A.3.2.2;Ausschluss;"Erfüllung von Umweltkriterien analog zur EPEAT-Zertifizierung: Bitte geben Sie an, ob die Kriterien entsprechend der Norm ""EPEAT Gold"" erfüllt werden (alle mit ""R"" markierten und mindestens 75% der mit ""O"" markierten Kriterien). Fügen Sie als Nachweis bitte entweder eine Zertifizierung nach EPEAT Gold bei oder einen gleichwertigen Nachweis zur Erfüllung der genannten Kriterien. Da sich die EPEAT-K";3 - Qualität / Sicherheit / Umwelt;3.2 Zertifizierungen;;;;
B.3.2.3;Bewertung;Erfüllung von Umweltkriterien analog zur Climate+Zertifizierung, ein entsprechender Nachweis, Zertifikat oder gleichwertige Bestätigung ist beizufügen;3 - Qualität / Sicherheit / Umwelt;3.2 Zertifizierungen;20,0;;;
A.3.2.4;Ausschluss;Einhaltung der ILO-Kernarbeitsnormen - ein entsprechender Nachweis, Zertifikat oder gleichwertige Bestätigung ist beizufügen;3 - Qualität / Sicherheit / Umwelt;3.2 Zertifizierungen;;;;
A.3.2.5;Ausschluss;EcoVadis-Zertifizierung (mind. Platin, Nachweis: Herstellererklärung);3 - Qualität / Sicherheit / Umwelt;3.2 Zertifizierungen;;;;
A.1.1.1;Ausschluss;"x86-Technologie (64 Bit) AMD / Intel Prozessor,  Mindestleistung ≥ 1700 Score Points „Overall“ im Benchmark „SYSmark 30“, Hardwareunterstützung für AES-Verschlüsselung

Testeinstellung: Auflösung 1920×1080 bei 60 Hz, Betriebssystem Windows 11 Pro 24H2 oder höher. Der Leistungswert SYSmark 30 „Overall Rating“ ist für die angebotene Konfiguration durch Vorlage eines geeigneten Messprotokolls mit dem";1. Technische Anforderungen;1.1 Prozessor;;;;
A.1.1.2;Ausschluss;"Alternativ: x86-Technologie (64 Bit) AMD / Intel Prozessor,  Mindestleistung ≥ 1900 Score Points „Overall“ im Benchmark „SYSmark 30“, Hardwareunterstützung für AES-Verschlüsselung

Testeinstellung: Auflösung 1920×1080 bei 60 Hz, Betriebssystem Windows 11 Pro 24H2 oder höher. Der Leistungswert SYSmark 30 „Overall Rating“ ist für die angebotene Konfiguration durch Vorlage eines geeigneten Messprotok";1. Technische Anforderungen;1.1 Prozessor;;;;
A.1.2.1;Ausschluss;16 GB RAM DDR5;1. Technische Anforderungen;1.2 Arbeitsspeicher;;;;
A.1.2.2;Ausschluss;Alternativ: 32GB RAM DDR5;1. Technische Anforderungen;1.2 Arbeitsspeicher;;;;
A.1.2.3;Ausschluss;Alternativ: 64GB RAM DDR5;1. Technische Anforderungen;1.2 Arbeitsspeicher;;;;
A.1.3.1;Ausschluss;"Ethernet-Adapter, RJ-45, 10/100/1000 Mbit/s, autosensing, Unterstützung für Preboot-Execution-Environment (PXE 2.1); WOL";1. Technische Anforderungen;1.3 Netzwerkkarte;;;;
A.1.3.2;Ausschluss;Optional onboard WLAN-Adapter Wifi 6 oder Wifi 7 mit Bluetooth mind. 5.x;1. Technische Anforderungen;1.3 Netzwerkkarte;;;;
A.1.4.1;Ausschluss;Min. 240 GB SSD M.2 PCIe;1. Technische Anforderungen;1.4 Festplatte;;;;
A.1.4.2;Ausschluss;Alternativ: Min. 480 GB SSD M.2 PCIe;1. Technische Anforderungen;1.4 Festplatte;;;;
A.1.4.3;Ausschluss;Alternativ: Min. 1TB SSD M.2 PCIe;1. Technische Anforderungen;1.4 Festplatte;;;;
A.1.4.4;Ausschluss;Optional: Festplatte/SSD verbleibt im Reparaturfall beim Kunden;1. Technische Anforderungen;1.4 Festplatte;;;;
A.1.5.1;Ausschluss;onboard-Soundkarte;1. Technische Anforderungen;1.5 Sound;;;;
B.1.6.1;Bewertung;Optional interner, SDHC-kompatibler Kartenleser erhältlich;1. Technische Anforderungen;1.6 SD Card;10,0;;;
A.1.7.1;Ausschluss;Min. 2x USB 3.2 extern;1. Technische Anforderungen;1.7 Schnittstellen/ Anschlüsse/ Systemboard-Steckplätze;;;;
B.1.7.2;Bewertung;2x USB 2.0 Typ-A;1. Technische Anforderungen;1.7 Schnittstellen/ Anschlüsse/ Systemboard-Steckplätze;20,0;;;
A.1.7.3;Ausschluss;Min. 2 digitale Schnittstellen für Monitore (davon mindestens 1x DisplayPort);1. Technische Anforderungen;1.7 Schnittstellen/ Anschlüsse/ Systemboard-Steckplätze;;;;
B.1.7.4;Bewertung;optionale 3. digitale Schnittstelle HDMI 2.1 FRL oder DisplayPort 2.1 (UHBR20);1. Technische Anforderungen;1.7 Schnittstellen/ Anschlüsse/ Systemboard-Steckplätze;20,0;;;
A.1.7.5;Ausschluss;1x Kopfhörer u. 1x Mikrofon (jeweils 3,5mm Klinkenbuchse) oder kombinierte Stereokopfhörer-/Mikrofonbuchse, erreichbar ohne Klappen oder Abdeckungen;1. Technische Anforderungen;1.7 Schnittstellen/ Anschlüsse/ Systemboard-Steckplätze;;;;
A.1.7.6;Ausschluss;Min. 1x USB 3.2, Typ-A (mind. mind. 5Gbist/s) erreichbar ohne Klappen oder Abdeckungen;1. Technische Anforderungen;1.7 Schnittstellen/ Anschlüsse/ Systemboard-Steckplätze;;;;
A.1.7.7;Ausschluss;Min. 1x USB 3.2, Typ-C (mind. 10Gbist/s) erreichbar ohne Klappen oder Abdeckungen;1. Technische Anforderungen;1.7 Schnittstellen/ Anschlüsse/ Systemboard-Steckplätze;;;;
A.1.7.8;Ausschluss;1x M.2 Schnittstelle;1. Technische Anforderungen;1.7 Schnittstellen/ Anschlüsse/ Systemboard-Steckplätze;;;;
B.1.7.9;Bewertung;2. zusätzliche M2. Schnittstelle für weitere SSD;1. Technische Anforderungen;1.7 Schnittstellen/ Anschlüsse/ Systemboard-Steckplätze;20,0;;;
A.1.7.10;Ausschluss;Schnittstellen- und Laufwerke über BIOS deaktivierbar, Passwortschutz für System und Setup;1. Technische Anforderungen;1.7 Schnittstellen/ Anschlüsse/ Systemboard-Steckplätze;;;;
A.1.7.11;Ausschluss;Einstellung der Bootreihenfolge im BIOS möglich;1. Technische Anforderungen;1.7 Schnittstellen/ Anschlüsse/ Systemboard-Steckplätze;;;;
A.1.8.1;Ausschluss;TPM mind. 2.0 Modul onboard mind. FIPS-140-2 zertifiziert;1. Technische Anforderungen;1.8 Sicherheit/ Management;;;;
A.1.8.2;Ausschluss;TPM Modul über kostenlose Software ein-/aus-schaltbar;1. Technische Anforderungen;1.8 Sicherheit/ Management;;;;
A.1.8.3;Ausschluss;SCCM-fähige Treiberpakete verfügbar;1. Technische Anforderungen;1.8 Sicherheit/ Management;;;;
A.1.9.1;Ausschluss;Onboard;1. Technische Anforderungen;1.9 Grafikkarte;;;;
A.1.9.2;Ausschluss;Auflösung min. 3.840 x 2.160 Pixel digital;1. Technische Anforderungen;1.9 Grafikkarte;;;;
A.1.9.3;Ausschluss;DirectX 12 und OpenGL 4.x Unterstützung;1. Technische Anforderungen;1.9 Grafikkarte;;;;
A.1.10.1;Ausschluss;"Gehäuseform ""Mini-PC"", Maximales Gehäusevolumen ≤ 1,2 Liter";1. Technische Anforderungen;1.10 Gehäuse;;;;
B.1.10.2;Bewertung;Werkzeuglose Montage von Gehäusedeckel, Laufwerken und Steckkarten;1. Technische Anforderungen;1.10 Gehäuse;20,0;;;
A.1.10.3;Ausschluss;Gehäuse mit Vorrichtung zur Diebstahlsicherung (Kensington-Lock);1. Technische Anforderungen;1.10 Gehäuse;;;;
B.1.10.4;Bewertung;Gehäuseöffnungs-Sensor;1. Technische Anforderungen;1.10 Gehäuse;10,0;;;
A.1.11.1;Ausschluss;Netzteil 110-240 Volt;1. Technische Anforderungen;1.11 Stromversorgung;;;;
A.1.12.1;Ausschluss;Tastatur in deutscher Sprache (MF2-Tastatur) mit min. 105 Tasten, USB schwarz;1. Technische Anforderungen;1.12 Tastatur und Maus;;;;
A.1.12.2;Ausschluss;Optional Tastatur in englischer Sprache, UK oder US , USB schwarz erhältlich;1. Technische Anforderungen;1.12 Tastatur und Maus;;;;
A.1.12.3;Ausschluss;Optische Maus mit min. 2 Tasten und Mausrad, USB schwarz;1. Technische Anforderungen;1.12 Tastatur und Maus;;;;
A.1.12.4;Ausschluss;"Die ergonomischen Eigenschaften von Tastaturen für Arbeitsplatzcomputer sollten nach dem Standard EN ISO 9241-4 geprüft sein und die dort geforderten Parameter einhalten.
Nachweis: Herstellererklärung und der Bieter legt spätestens auf Nachfrage vor Zuschlagserteilung einen Prüfbericht vor.";1. Technische Anforderungen;1.12 Tastatur und Maus;;;;
A.1.13.1;Ausschluss;Microsoft Windows 11 Professional 64 Bit OEM vorinstalliert inkl. Lizenz;1. Technische Anforderungen;1.13 Betriebssystem;;;;
A.1.13.2;Ausschluss;Alternativ Microsoft Windows 11 Home 64 BIT OEM  vorinstalliert inkl. Lizenz;1. Technische Anforderungen;1.13 Betriebssystem;;;;
A.1.13.3;Ausschluss;"Alternativ Ubuntu LTS 24.04 Werksseitig, Gerät ist offziell zertifiziert und auf folgender Seite gelistet; URL: https://certification.ubuntu.com/desktop";1. Technische Anforderungen;1.13 Betriebssystem;;;;
A.1.14.1;Ausschluss;Neugeräte aus Serienproduktion;1. Technische Anforderungen;1.14 Allgemeine Eigenschaften;;;;
A.1.14.2;Ausschluss;Alle imagerelevanten Bauteile über Produktlebenszyklus unverändert konstant;1. Technische Anforderungen;1.14 Allgemeine Eigenschaften;;;;
B.1.14.3;Bewertung;geplante Produktlaufzeit in Monaten (Nachweis mit Hersteller-Roadmap);1. Technische Anforderungen;1.14 Allgemeine Eigenschaften;40,0;;;
A.1.14.4;Ausschluss;Ein- und Ausschalter an Gerätevorderseite, durch dessen Betätigung das Gerät min. in den Schein-Aus-Zustand versetzt werden kann;1. Technische Anforderungen;1.14 Allgemeine Eigenschaften;;;;
A.2.1.1;Ausschluss;Wake-on-LAN;2. Zusätzliche Leistungen;2.1 Management;;;;
A.2.1.2;Ausschluss;"Der Hersteller muss ermöglichen, dass das System‑BIOS im Rahmen der vom Hersteller freigegebenen Versionen sowohl aktualisiert (Upgrade) als auch auf frühere, freigegebene BIOS‑Stände zurückgesetzt (Downgrade) werden kann.
Einschränkungen von BIOS‑Downgrades sind  zulässig, wenn sicherheitskritische BIOS‑ bzw. Firmware‑Updates ein Downgrade aus Sicherheitsgründen unterbinden";2. Zusätzliche Leistungen;2.1 Management;;;;
A.2.1.3;Ausschluss;"Energiemanagement: Das Gerät muss ein ACPI-konformes Betriebssystem unterstützen. Das Gerät muss bei Inaktivität selbständig in den Ruhemodus übergehen sowie den Monitor ausschalten. Voreinstellung bei Auslieferung:
- Monitor aus ≤ 15 Min
- Ruhemodus (ACPI S3) ≤ 30 Min";2. Zusätzliche Leistungen;2.1 Management;;;;
A.2.1.4;Ausschluss;Der Kunde soll die Möglichkeit haben mindestens eine kundenspezifische Information selbst im Geräte-BIOS zu hinterlegen, z.B. die Inventarnummer des Gerätes und/oder eine Anlagennummer. Das Feld im BIOS muss durch den Kunden initial gefüllt und nachträglich bearbeitet werden können.;2. Zusätzliche Leistungen;2.1 Management;;;;
A.2.1.5;Ausschluss;Kostenloses Tool vom Gerätehersteller zur automatisierten Firmware- u. Treiberaktualisierung (Windows) verfügbar;2. Zusätzliche Leistungen;2.1 Management;;;;
A.2.1.6;Ausschluss;Kostenloses Tool vom Gerätehersteller zur Bios-Konfiguration verfügbar;2. Zusätzliche Leistungen;2.1 Management;;;;
A.2.2.1;Ausschluss;Optional: Aufkleber mit Assetdaten (z.B. Seriennummer, MAC.Adresse) auf Verpackung;2. Zusätzliche Leistungen;2.2 Geräteetikettierung;;;;
A.2.2.2;Ausschluss;Optional Aufkleber mit Assetdaten (z.B. Seriennummer, MAC.Adresse) auf System;2. Zusätzliche Leistungen;2.2 Geräteetikettierung;;;;
A.2.2.3;Ausschluss;Optional Aufbringen kundenspezifischer Aufkleber auf System;2. Zusätzliche Leistungen;2.2 Geräteetikettierung;;;;
A.3.1.1;Ausschluss;"Das Gerät erfüllt vollständig die Anforderungen des aktuellen ENERGY-STAR-Programms für Computer (derzeit ENERGY STAR Version 9.0).

Nachweise: Herstellererklärung; der Bieter verpflichtet sich, spätestens auf Nachfrage vor Zuschlagserteilung einen Prüfbericht oder ein Dokument gemäß der jeweils gültigen ENERGY-STAR-Testvorschrift oder ein Dokument mit folgenden Angaben vorzulegen:

Name des Prüfl";3 - Qualität / Sicherheit / Umwelt;3.1 Energieverbrauch;;;;
A.3.2.1;Ausschluss;"GS-Zeichen; CE; WEEE; EU-RoHS – entsprechende Konformitäts- und Zertifikatsunterlagen werden beigefügt.";3 - Qualität / Sicherheit / Umwelt;3.2 Zertifizierungen;;;;
A.3.2.2;Ausschluss;"Erfüllung von Umweltkriterien analog zur EPEAT-Zertifizierung: Bitte geben Sie an, ob die Kriterien entsprechend der Norm ""EPEAT Gold"" erfüllt werden (alle Epeat Kriterien mit ""R""  und mindestens 75% der mit ""O"" markierten Kriterien). Fügen Sie als Nachweis bitte entweder eine Zertifizierung nach EPEAT Gold bei oder einen gleichwertigen Nachweis zur Erfüllung der genannten Kriterien. Da sich die E";3 - Qualität / Sicherheit / Umwelt;3.2 Zertifizierungen;;;;
B.3.2.3;Bewertung;Erfüllung von Umweltkriterien analog zur Climate+Zertifizierung, ein entsprechender Nachweis, Zertifikat oder gleichwertige Bestätigung ist beizufügen;3 - Qualität / Sicherheit / Umwelt;3.2 Zertifizierungen;20,0;;;
A.3.2.4;Ausschluss;Einhaltung der ILO-Kernarbeitsnormen - ein entsprechender Nachweis, Zertifikat oder gleichwertige Bestätigung ist beizufügen;3 - Qualität / Sicherheit / Umwelt;3.2 Zertifizierungen;;;;
A.3.2.5;Ausschluss;EcoVadis-Zertifizierung (mind. Platin, Nachweis: Herstellererklärung);3 - Qualität / Sicherheit / Umwelt;3.2 Zertifizierungen;;;;
A.1.1.1;Ausschluss;"x86-Technologie (64 Bit) AMD / Intel Prozessor,  Mindestleistung ≥ 1800 Score Points „Overall“ im Benchmark „SYSmark 30“, Hardwareunterstützung für AES-Verschlüsselung

Testeinstellung: Auflösung 1920×1080 bei 60 Hz, Betriebssystem Windows 11 Pro 24H2 oder höher. Der Leistungswert SYSmark 30 „Overall Rating“ ist für die angebotene Konfiguration durch Vorlage eines geeigneten Messprotokolls mit dem";1. Technische Anforderungen;1.1 Prozessor;;;;
A.1.2.1;Ausschluss;32 GB RAM DDR5;1. Technische Anforderungen;1.2 Arbeitsspeicher;;;;
A.1.2.2;Ausschluss;Alternativ: 64GB RAM DDR5;1. Technische Anforderungen;1.2 Arbeitsspeicher;;;;
A.1.3.1;Ausschluss;"Ethernet-Adapter, RJ-45, 10/100/1000 Mbit/s, autosensing, Unterstützung für Preboot-Execution-Environment (PXE 2.1); WOL";1. Technische Anforderungen;1.3 Netzwerkkarte;;;;
A.1.3.2;Ausschluss;onboard WLAN-Adapter Wifi 6 oder Wifi 7 mit Bluetooth mind. 5.x;1. Technische Anforderungen;1.3 Netzwerkkarte;;;;
A.1.4.1;Ausschluss;480 GB SSD M.2 PCIe;1. Technische Anforderungen;1.4 Festplatte;;;;
